City,CityCode,AirportCode,LowPrice,DptDate,DptTime,From,To,SearchingTime
Shanghai,SHA,PVG,3334,2021-05-04,11:00:00.000Z,31/12/2020,29/06/2021,16:35:34
Hongkong,HKG,HKG,795,2021-06-16,10:20:00.000Z,31/12/2020,29/06/2021,16:35:34
Guangzhou,CAN,CAN,4111,2021-01-03,11:55:00.000Z,31/12/2020,29/06/2021,16:35:34
Xiamen,XMN,XMN,3162,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,16:35:34
Shanghai,SHA,PVG,3334,2021-05-04,11:00:00.000Z,31/12/2020,29/06/2021,16:51:55
Hongkong,HKG,HKG,795,2021-06-16,10:20:00.000Z,31/12/2020,29/06/2021,16:51:55
Guangzhou,CAN,CAN,4111,2021-01-03,11:55:00.000Z,31/12/2020,29/06/2021,16:51:55
Xiamen,XMN,XMN,3162,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,16:51:55
Shanghai,SHA,PVG,3334,2021-05-04,11:00:00.000Z,31/12/2020,29/06/2021,17:12:53
Hongkong,HKG,HKG,795,2021-06-16,10:20:00.000Z,31/12/2020,29/06/2021,17:12:53
Guangzhou,CAN,CAN,4111,2021-01-03,11:55:00.000Z,31/12/2020,29/06/2021,17:12:53
Xiamen,XMN,XMN,3162,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,17:12:53
Shanghai,SHA,PVG,3315,2021-05-04,11:00:00.000Z,31/12/2020,29/06/2021,20:48:09
Hongkong,HKG,HKG,854,2021-06-05,21:25:00.000Z,31/12/2020,29/06/2021,20:48:09
Xiamen,XMN,XMN,3155,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,20:48:09
Shanghai,SHA,PVG,3315,2021-05-04,11:00:00.000Z,31/12/2020,29/06/2021,20:53:48
Hongkong,HKG,HKG,854,2021-06-12,10:20:00.000Z,31/12/2020,29/06/2021,20:53:48
Xiamen,XMN,XMN,3155,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,20:53:48
Shanghai,SHA,PVG,3315,2021-05-12,11:00:00.000Z,31/12/2020,29/06/2021,20:58:20
Hongkong,HKG,HKG,854,2021-06-12,10:20:00.000Z,31/12/2020,29/06/2021,20:58:20
Xiamen,XMN,XMN,3155,2021-04-01,12:15:00.000Z,31/12/2020,29/06/2021,20:58:20
Shanghai,SHA,PVG,3234,2021-06-12,11:00:00.000Z,01/01/2021,30/06/2021,12:41:14
Guangzhou,CAN,CAN,4115,2021-01-03,11:55:00.000Z,01/01/2021,30/06/2021,12:41:14
Xiamen,XMN,XMN,3155,2021-04-01,12:15:00.000Z,01/01/2021,30/06/2021,12:41:14
Shanghai,SHA,PVG,3200,2021-06-12,11:00:00.000Z,01/01/2021,30/06/2021,21:09:21
Xiamen,XMN,XMN,3147,2021-04-01,12:15:00.000Z,01/01/2021,30/06/2021,21:09:21
Shanghai,SHA,PVG,705,2021-07-01,09:30:00.000Z,02/01/2021,01/07/2021,12:15:19
Xiamen,XMN,XMN,3147,2021-04-01,12:15:00.000Z,02/01/2021,01/07/2021,12:15:19
Shanghai,SHA,PVG,705,2021-07-01,09:30:00.000Z,02/01/2021,01/07/2021,23:04:44
Xiamen,XMN,XMN,3149,2021-04-01,12:15:00.000Z,02/01/2021,01/07/2021,23:04:44
Shanghai,SHA,PVG,691,2021-04-13,11:00:00.000Z,04/01/2021,03/07/2021,00:34:07
Hongkong,HKG,HKG,795,2021-07-02,10:20:00.000Z,04/01/2021,03/07/2021,00:34:07
Xiamen,XMN,XMN,3166,2021-04-01,12:15:00.000Z,04/01/2021,03/07/2021,00:34:07
Shanghai,SHA,PVG,1395,2021-07-01,09:30:00.000Z,12/01/2021,11/07/2021,19:42:56
Hongkong,HKG,HKG,795,2021-07-02,10:20:00.000Z,12/01/2021,11/07/2021,19:42:56
Guangzhou,CAN,CAN,4094,2021-01-24,11:55:00.000Z,12/01/2021,11/07/2021,19:42:56
Xiamen,XMN,XMN,3189,2021-04-01,12:15:00.000Z,12/01/2021,11/07/2021,19:42:56
Shanghai,SHA,PVG,696,2021-04-13,11:00:00.000Z,14/01/2021,13/07/2021,17:35:09
Hongkong,HKG,HKG,795,2021-07-08,10:20:00.000Z,14/01/2021,13/07/2021,17:35:09
Guangzhou,CAN,CAN,3183,2021-02-28,11:55:00.000Z,14/01/2021,13/07/2021,17:35:09
Xiamen,XMN,XMN,7730,2021-03-14,12:15:00.000Z,14/01/2021,13/07/2021,17:35:09
